time in seconds,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Rcarz
1.33328,839199442,-113.1081467,-19.79639816,49.39447784,3.183768034,-8.566875458,-4.04167366,3.651475906,-5.933666229,7.436901093,980.804871
1.341613,839207775,-113.1066589,-19.72227478,49.4056282,3.221445084,-8.499072075,-4.039484501,2.262774706,-5.670890331,7.156503201,980.784729
1.349946,839216108,-113.1214066,-19.65513229,49.41654587,3.229819298,-8.726483345,-4.07899332,0.670081198,-5.124973297,6.316047668,980.758545
1.358279,839224441,-113.137291,-19.59287643,49.42848206,3.21953845,-8.739212036,-3.984282732,0.207949206,-5.196566105,5.809399128,980.730896
1.366612,839232774,-113.1566467,-19.53307343,49.45492935,3.236049414,-8.817279816,-4.015818596,0.737830997,-6.404558659,4.81018734,980.708069
1.374945,839241107,-113.1747665,-19.47444725,49.48419571,3.368828058,-8.832736969,-4.103358746,0.630404711,-6.832750797,4.635061741,980.696655
1.383278,839249440,-113.1958466,-19.421978,49.50695801,3.395087481,-8.731290817,-4.18828392,0.377720296,-5.681570053,4.157535553,980.702576
1.391611,839257773,-113.2185822,-19.37984276,49.51720047,3.43823266,-8.626326561,-4.280843258,-0.686640799,-4.079271793,3.660670996,980.730347
1.399944,839266106,-113.2586288,-19.34432602,49.52138519,3.34240222,-8.304504395,-4.197324276,-2.639316082,-2.949658394,3.113755941,980.783569
1.408277,839274439,-113.3043671,-19.29493713,49.5282402,3.149800539,-8.517887115,-4.038969517,-3.584277153,-4.078811646,4.60599041,980.865479
1.41661,839282772,-113.343895,-19.23072815,49.55265045,2.981673002,-8.525910378,-3.994505405,-1.775348186,-6.420361042,5.370958805,980.978455
1.424943,839291105,-113.3744507,-19.15620422,49.58053207,3.075774193,-8.440312386,-4.072644234,-0.93363893,-7.467190742,6.425882339,981.124512
1.433276,839299438,-113.4026642,-19.07080269,49.60545731,2.995241165,-8.595452309,-4.130090237,-0.404756188,-7.497364044,7.669222355,981.305603
1.441609,839307771,-113.4194565,-18.98410797,49.61604691,3.128018856,-8.638932228,-4.168023109,0.033132013,-6.257353306,8.539286613,981.523682
1.449942,839316104,-113.4387207,-18.89344978,49.61146164,2.988692522,-8.604759216,-4.116364479,-0.48833549,-4.681437492,9.575305939,981.780396
1.458275,839324437,-113.4526978,-18.79415894,49.60162354,2.963980198,-8.726099968,-4.003001213,-0.426912487,-4.736738205,10.84508133,982.076416
1.466608,839332770,-113.4573288,-18.69009209,49.58848572,2.863263607,-8.766496658,-4.013842583,0.94466573,-4.433567524,11.4344635,982.411255
1.474941,839341103,-113.4548721,-18.57965469,49.57501602,2.848917723,-8.621610641,-3.917662859,1.412202477,-4.890551567,12.23583126,982.784058
1.483274,839349436,-113.4509735,-18.46175575,49.5670166,2.790470839,-8.666976929,-3.922164202,2.164953947,-5.628422737,12.72352886,983.19458
1.491607,839357769,-113.4418564,-18.34141159,49.56243134,2.788160324,-8.748268127,-3.936178207,2.552240849,-6.288500309,12.9274416,983.643433
1.49994,839366102,-113.4312668,-18.22465897,49.55744171,2.819933891,-8.669077873,-4.030229092,3.087783575,-5.888431549,12.45867634,984.131409
